Case ID,Parent Requirement ID,Document Source,Domain,Case Description,Expected Behavior,Implementation Evidence,Status
Spec v4.4::SPL-008,AUD-V44-SPLIT-001,Spec v4.4,v4.4,Explicit specification requirement case SPL-008 extracted from Spec v4.4,System must enforce contract rules specified under SPL-008,src/core/autogram_core/,PARTIAL
Spec v4.4::SPL-009,AUD-V44-SPLIT-001,Spec v4.4,v4.4,Explicit specification requirement case SPL-009 extracted from Spec v4.4,System must enforce contract rules specified under SPL-009,src/core/autogram_core/,PARTIAL
Spec v4.4::SPL-010,AUD-V44-SPLIT-001,Spec v4.4,v4.4,Explicit specification requirement case SPL-010 extracted from Spec v4.4,System must enforce contract rules specified under SPL-010,src/core/autogram_core/,PARTIAL
Spec v4.4::SPL-011,AUD-V44-SPLIT-001,Spec v4.4,v4.4,Explicit specification requirement case SPL-011 extracted from Spec v4.4,System must enforce contract rules specified under SPL-011,src/core/autogram_core/,PARTIAL
Spec v4.4::SPL-012,AUD-V44-SPLIT-001,Spec v4.4,v4.4,Explicit specification requirement case SPL-012 extracted from Spec v4.4,System must enforce contract rules specified under SPL-012,src/core/autogram_core/,PARTIAL
Spec v4.4::SPL-013,AUD-V44-SPLIT-001,Spec v4.4,v4.4,Explicit specification requirement case SPL-013 extracted from Spec v4.4,System must enforce contract rules specified under SPL-013,src/core/autogram_core/,PARTIAL
Spec v4.4::SPL-014,AUD-V44-SPLIT-001,Spec v4.4,v4.4,Explicit specification requirement case SPL-014 extracted from Spec v4.4,System must enforce contract rules specified under SPL-014,src/core/autogram_core/,PARTIAL
Spec v4.4::SPL-015,AUD-V44-SPLIT-001,Spec v4.4,v4.4,Explicit specification requirement case SPL-015 extracted from Spec v4.4,System must enforce contract rules specified under SPL-015,src/core/autogram_core/,PARTIAL
Spec v4.4::SPL-016,AUD-V44-SPLIT-001,Spec v4.4,v4.4,Explicit specification requirement case SPL-016 extracted from Spec v4.4,System must enforce contract rules specified under SPL-016,src/core/autogram_core/,PARTIAL
Spec v4.4::SPL-017,AUD-V44-SPLIT-001,Spec v4.4,v4.4,Explicit specification requirement case SPL-017 extracted from Spec v4.4,System must enforce contract rules specified under SPL-017,src/core/autogram_core/,PARTIAL
Spec v4.4::SPL-018,AUD-V44-SPLIT-001,Spec v4.4,v4.4,Explicit specification requirement case SPL-018 extracted from Spec v4.4,System must enforce contract rules specified under SPL-018,src/core/autogram_core/,PARTIAL
Spec v4.4::SPL-019,AUD-V44-SPLIT-001,Spec v4.4,v4.4,Explicit specification requirement case SPL-019 extracted from Spec v4.4,System must enforce contract rules specified under SPL-019,src/core/autogram_core/,PARTIAL
Spec v4.4::SPL-020,AUD-V44-SPLIT-001,Spec v4.4,v4.4,Explicit specification requirement case SPL-020 extracted from Spec v4.4,System must enforce contract rules specified under SPL-020,src/core/autogram_core/,PARTIAL
Spec v4.4::ALT-001,AUD-V44-SPLIT-001,Spec v4.4,v4.4,Explicit specification requirement case ALT-001 extracted from Spec v4.4,System must enforce contract rules specified under ALT-001,src/core/autogram_core/,PARTIAL
Spec v4.4::ALT-002,AUD-V44-SPLIT-001,Spec v4.4,v4.4,Explicit specification requirement case ALT-002 extracted from Spec v4.4,System must enforce contract rules specified under ALT-002,src/core/autogram_core/,PARTIAL
Spec v4.4::ALT-003,AUD-V44-SPLIT-001,Spec v4.4,v4.4,Explicit specification requirement case ALT-003 extracted from Spec v4.4,System must enforce contract rules specified under ALT-003,src/core/autogram_core/,PARTIAL
Spec v4.4::ALT-004,AUD-V44-SPLIT-001,Spec v4.4,v4.4,Explicit specification requirement case ALT-004 extracted from Spec v4.4,System must enforce contract rules specified under ALT-004,src/core/autogram_core/,PARTIAL
Spec v4.4::ALT-005,AUD-V44-SPLIT-001,Spec v4.4,v4.4,Explicit specification requirement case ALT-005 extracted from Spec v4.4,System must enforce contract rules specified under ALT-005,src/core/autogram_core/,PARTIAL
Spec v4.4::ALT-006,AUD-V44-SPLIT-001,Spec v4.4,v4.4,Explicit specification requirement case ALT-006 extracted from Spec v4.4,System must enforce contract rules specified under ALT-006,src/core/autogram_core/,PARTIAL
Spec v4.4::ALT-007,AUD-V44-SPLIT-001,Spec v4.4,v4.4,Explicit specification requirement case ALT-007 extracted from Spec v4.4,System must enforce contract rules specified under ALT-007,src/core/autogram_core/,PARTIAL
Spec v4.4::ALT-008,AUD-V44-SPLIT-001,Spec v4.4,v4.4,Explicit specification requirement case ALT-008 extracted from Spec v4.4,System must enforce contract rules specified under ALT-008,src/core/autogram_core/,PARTIAL
Spec v4.4::ALT-009,AUD-V44-SPLIT-001,Spec v4.4,v4.4,Explicit specification requirement case ALT-009 extracted from Spec v4.4,System must enforce contract rules specified under ALT-009,src/core/autogram_core/,PARTIAL
Spec v4.4::ALT-010,AUD-V44-SPLIT-001,Spec v4.4,v4.4,Explicit specification requirement case ALT-010 extracted from Spec v4.4,System must enforce contract rules specified under ALT-010,src/core/autogram_core/,PARTIAL
Spec v4.4::ALT-011,AUD-V44-SPLIT-001,Spec v4.4,v4.4,Explicit specification requirement case ALT-011 extracted from Spec v4.4,System must enforce contract rules specified under ALT-011,src/core/autogram_core/,PARTIAL
Spec v4.4::ALT-012,AUD-V44-SPLIT-001,Spec v4.4,v4.4,Explicit specification requirement case ALT-012 extracted from Spec v4.4,System must enforce contract rules specified under ALT-012,src/core/autogram_core/,PARTIAL
Spec v4.4::ALT-013,AUD-V44-SPLIT-001,Spec v4.4,v4.4,Explicit specification requirement case ALT-013 extracted from Spec v4.4,System must enforce contract rules specified under ALT-013,src/core/autogram_core/,PARTIAL
Spec v4.4::ALT-014,AUD-V44-SPLIT-001,Spec v4.4,v4.4,Explicit specification requirement case ALT-014 extracted from Spec v4.4,System must enforce contract rules specified under ALT-014,src/core/autogram_core/,PARTIAL
Spec v4.4::ALT-015,AUD-V44-SPLIT-001,Spec v4.4,v4.4,Explicit specification requirement case ALT-015 extracted from Spec v4.4,System must enforce contract rules specified under ALT-015,src/core/autogram_core/,PARTIAL
Spec v4.4::ALT-016,AUD-V44-SPLIT-001,Spec v4.4,v4.4,Explicit specification requirement case ALT-016 extracted from Spec v4.4,System must enforce contract rules specified under ALT-016,src/core/autogram_core/,PARTIAL
Spec v4.4::ALT-017,AUD-V44-SPLIT-001,Spec v4.4,v4.4,Explicit specification requirement case ALT-017 extracted from Spec v4.4,System must enforce contract rules specified under ALT-017,src/core/autogram_core/,PARTIAL
Spec v4.4::ALT-018,AUD-V44-SPLIT-001,Spec v4.4,v4.4,Explicit specification requirement case ALT-018 extracted from Spec v4.4,System must enforce contract rules specified under ALT-018,src/core/autogram_core/,PARTIAL
Spec v4.4::ALT-019,AUD-V44-SPLIT-001,Spec v4.4,v4.4,Explicit specification requirement case ALT-019 extracted from Spec v4.4,System must enforce contract rules specified under ALT-019,src/core/autogram_core/,PARTIAL
Spec v4.4::ALT-020,AUD-V44-SPLIT-001,Spec v4.4,v4.4,Explicit specification requirement case ALT-020 extracted from Spec v4.4,System must enforce contract rules specified under ALT-020,src/core/autogram_core/,PARTIAL
Spec v4.4::ALT-021,AUD-V44-SPLIT-001,Spec v4.4,v4.4,Explicit specification requirement case ALT-021 extracted from Spec v4.4,System must enforce contract rules specified under ALT-021,src/core/autogram_core/,PARTIAL
Spec v4.4::ALT-022,AUD-V44-SPLIT-001,Spec v4.4,v4.4,Explicit specification requirement case ALT-022 extracted from Spec v4.4,System must enforce contract rules specified under ALT-022,src/core/autogram_core/,PARTIAL
Spec v4.4::ALT-023,AUD-V44-SPLIT-001,Spec v4.4,v4.4,Explicit specification requirement case ALT-023 extracted from Spec v4.4,System must enforce contract rules specified under ALT-023,src/core/autogram_core/,PARTIAL
Spec v4.4::ALT-024,AUD-V44-SPLIT-001,Spec v4.4,v4.4,Explicit specification requirement case ALT-024 extracted from Spec v4.4,System must enforce contract rules specified under ALT-024,src/core/autogram_core/,PARTIAL
Spec v4.4::SKP-001,AUD-V44-SPLIT-001,Spec v4.4,v4.4,Explicit specification requirement case SKP-001 extracted from Spec v4.4,System must enforce contract rules specified under SKP-001,src/core/autogram_core/,PARTIAL
Spec v4.4::SKP-002,AUD-V44-SPLIT-001,Spec v4.4,v4.4,Explicit specification requirement case SKP-002 extracted from Spec v4.4,System must enforce contract rules specified under SKP-002,src/core/autogram_core/,PARTIAL
Spec v4.4::SKP-003,AUD-V44-SPLIT-001,Spec v4.4,v4.4,Explicit specification requirement case SKP-003 extracted from Spec v4.4,System must enforce contract rules specified under SKP-003,src/core/autogram_core/,PARTIAL
Spec v4.4::SKP-004,AUD-V44-SPLIT-001,Spec v4.4,v4.4,Explicit specification requirement case SKP-004 extracted from Spec v4.4,System must enforce contract rules specified under SKP-004,src/core/autogram_core/,PARTIAL
Spec v4.4::SKP-005,AUD-V44-SPLIT-001,Spec v4.4,v4.4,Explicit specification requirement case SKP-005 extracted from Spec v4.4,System must enforce contract rules specified under SKP-005,src/core/autogram_core/,PARTIAL
Spec v4.4::SKP-006,AUD-V44-SPLIT-001,Spec v4.4,v4.4,Explicit specification requirement case SKP-006 extracted from Spec v4.4,System must enforce contract rules specified under SKP-006,src/core/autogram_core/,PARTIAL
Spec v4.4::UI-001,AUD-V44-SPLIT-001,Spec v4.4,v4.4,Explicit specification requirement case UI-001 extracted from Spec v4.4,System must enforce contract rules specified under UI-001,src/core/autogram_core/,PARTIAL
Spec v4.4::UI-002,AUD-V44-SPLIT-001,Spec v4.4,v4.4,Explicit specification requirement case UI-002 extracted from Spec v4.4,System must enforce contract rules specified under UI-002,src/core/autogram_core/,PARTIAL
Spec v4.4::UI-003,AUD-V44-SPLIT-001,Spec v4.4,v4.4,Explicit specification requirement case UI-003 extracted from Spec v4.4,System must enforce contract rules specified under UI-003,src/core/autogram_core/,PARTIAL
Spec v4.4::UI-004,AUD-V44-SPLIT-001,Spec v4.4,v4.4,Explicit specification requirement case UI-004 extracted from Spec v4.4,System must enforce contract rules specified under UI-004,src/core/autogram_core/,PARTIAL
Spec v4.4::UI-005,AUD-V44-SPLIT-001,Spec v4.4,v4.4,Explicit specification requirement case UI-005 extracted from Spec v4.4,System must enforce contract rules specified under UI-005,src/core/autogram_core/,PARTIAL
Spec v4.4::UI-006,AUD-V44-SPLIT-001,Spec v4.4,v4.4,Explicit specification requirement case UI-006 extracted from Spec v4.4,System must enforce contract rules specified under UI-006,src/core/autogram_core/,PARTIAL
Spec v4.4::UI-007,AUD-V44-SPLIT-001,Spec v4.4,v4.4,Explicit specification requirement case UI-007 extracted from Spec v4.4,System must enforce contract rules specified under UI-007,src/core/autogram_core/,PARTIAL
Spec v4.4::UI-008,AUD-V44-SPLIT-001,Spec v4.4,v4.4,Explicit specification requirement case UI-008 extracted from Spec v4.4,System must enforce contract rules specified under UI-008,src/core/autogram_core/,PARTIAL
Spec v4.4::BAT-001,AUD-V44-SPLIT-001,Spec v4.4,v4.4,Explicit specification requirement case BAT-001 extracted from Spec v4.4,System must enforce contract rules specified under BAT-001,src/core/autogram_core/,PARTIAL
Spec v4.4::BAT-002,AUD-V44-SPLIT-001,Spec v4.4,v4.4,Explicit specification requirement case BAT-002 extracted from Spec v4.4,System must enforce contract rules specified under BAT-002,src/core/autogram_core/,PARTIAL
Spec v4.4::BAT-003,AUD-V44-SPLIT-001,Spec v4.4,v4.4,Explicit specification requirement case BAT-003 extracted from Spec v4.4,System must enforce contract rules specified under BAT-003,src/core/autogram_core/,PARTIAL
Spec v4.4::BAT-004,AUD-V44-SPLIT-001,Spec v4.4,v4.4,Explicit specification requirement case BAT-004 extracted from Spec v4.4,System must enforce contract rules specified under BAT-004,src/core/autogram_core/,PARTIAL
Spec v4.4::AND-001,AUD-V44-SPLIT-001,Spec v4.4,v4.4,Explicit specification requirement case AND-001 extracted from Spec v4.4,System must enforce contract rules specified under AND-001,src/core/autogram_core/,PARTIAL
Spec v4.4::AND-002,AUD-V44-SPLIT-001,Spec v4.4,v4.4,Explicit specification requirement case AND-002 extracted from Spec v4.4,System must enforce contract rules specified under AND-002,src/core/autogram_core/,PARTIAL
Spec v4.4::AND-003,AUD-V44-SPLIT-001,Spec v4.4,v4.4,Explicit specification requirement case AND-003 extracted from Spec v4.4,System must enforce contract rules specified under AND-003,src/core/autogram_core/,PARTIAL
Spec v4.4::AND-004,AUD-V44-SPLIT-001,Spec v4.4,v4.4,Explicit specification requirement case AND-004 extracted from Spec v4.4,System must enforce contract rules specified under AND-004,src/core/autogram_core/,PARTIAL
Spec v4.4::AND-005,AUD-V44-SPLIT-001,Spec v4.4,v4.4,Explicit specification requirement case AND-005 extracted from Spec v4.4,System must enforce contract rules specified under AND-005,src/core/autogram_core/,PARTIAL
Spec v4.4::SEC-001,AUD-V44-SPLIT-001,Spec v4.4,v4.4,Explicit specification requirement case SEC-001 extracted from Spec v4.4,System must enforce contract rules specified under SEC-001,src/core/autogram_core/,PARTIAL
Spec v4.4::SEC-002,AUD-V44-SPLIT-001,Spec v4.4,v4.4,Explicit specification requirement case SEC-002 extracted from Spec v4.4,System must enforce contract rules specified under SEC-002,src/core/autogram_core/,PARTIAL
Spec v4.4::SEC-003,AUD-V44-SPLIT-001,Spec v4.4,v4.4,Explicit specification requirement case SEC-003 extracted from Spec v4.4,System must enforce contract rules specified under SEC-003,src/core/autogram_core/,PARTIAL
Spec v4.4::SEC-004,AUD-V44-SPLIT-001,Spec v4.4,v4.4,Explicit specification requirement case SEC-004 extracted from Spec v4.4,System must enforce contract rules specified under SEC-004,src/core/autogram_core/,PARTIAL
Spec v4.5::SHA-256,AUD-V45-RATE-001,Spec v4.5,v4.5,Explicit specification requirement case SHA-256 extracted from Spec v4.5,System must enforce contract rules specified under SHA-256,src/core/autogram_core/,PARTIAL
Spec v4.5::FLD-001,AUD-V45-RATE-001,Spec v4.5,v4.5,Explicit specification requirement case FLD-001 extracted from Spec v4.5,System must enforce contract rules specified under FLD-001,src/core/autogram_core/,PARTIAL
Spec v4.5::FLD-002,AUD-V45-RATE-001,Spec v4.5,v4.5,Explicit specification requirement case FLD-002 extracted from Spec v4.5,System must enforce contract rules specified under FLD-002,src/core/autogram_core/,PARTIAL
Spec v4.5::FLD-003,AUD-V45-RATE-001,Spec v4.5,v4.5,Explicit specification requirement case FLD-003 extracted from Spec v4.5,System must enforce contract rules specified under FLD-003,src/core/autogram_core/,PARTIAL
Spec v4.5::FLD-004,AUD-V45-RATE-001,Spec v4.5,v4.5,Explicit specification requirement case FLD-004 extracted from Spec v4.5,System must enforce contract rules specified under FLD-004,src/core/autogram_core/,PARTIAL
Spec v4.5::FLD-005,AUD-V45-RATE-001,Spec v4.5,v4.5,Explicit specification requirement case FLD-005 extracted from Spec v4.5,System must enforce contract rules specified under FLD-005,src/core/autogram_core/,PARTIAL
Spec v4.5::FLD-006,AUD-V45-RATE-001,Spec v4.5,v4.5,Explicit specification requirement case FLD-006 extracted from Spec v4.5,System must enforce contract rules specified under FLD-006,src/core/autogram_core/,PARTIAL
Spec v4.5::FLD-007,AUD-V45-RATE-001,Spec v4.5,v4.5,Explicit specification requirement case FLD-007 extracted from Spec v4.5,System must enforce contract rules specified under FLD-007,src/core/autogram_core/,PARTIAL
Spec v4.5::FLD-008,AUD-V45-RATE-001,Spec v4.5,v4.5,Explicit specification requirement case FLD-008 extracted from Spec v4.5,System must enforce contract rules specified under FLD-008,src/core/autogram_core/,PARTIAL
Spec v4.5::FLD-009,AUD-V45-RATE-001,Spec v4.5,v4.5,Explicit specification requirement case FLD-009 extracted from Spec v4.5,System must enforce contract rules specified under FLD-009,src/core/autogram_core/,PARTIAL
Spec v4.5::FLD-010,AUD-V45-RATE-001,Spec v4.5,v4.5,Explicit specification requirement case FLD-010 extracted from Spec v4.5,System must enforce contract rules specified under FLD-010,src/core/autogram_core/,PARTIAL
Spec v4.5::FLD-011,AUD-V45-RATE-001,Spec v4.5,v4.5,Explicit specification requirement case FLD-011 extracted from Spec v4.5,System must enforce contract rules specified under FLD-011,src/core/autogram_core/,PARTIAL
Spec v4.5::FLD-012,AUD-V45-RATE-001,Spec v4.5,v4.5,Explicit specification requirement case FLD-012 extracted from Spec v4.5,System must enforce contract rules specified under FLD-012,src/core/autogram_core/,PARTIAL
Spec v4.5::FLD-013,AUD-V45-RATE-001,Spec v4.5,v4.5,Explicit specification requirement case FLD-013 extracted from Spec v4.5,System must enforce contract rules specified under FLD-013,src/core/autogram_core/,PARTIAL
Spec v4.5::FLD-014,AUD-V45-RATE-001,Spec v4.5,v4.5,Explicit specification requirement case FLD-014 extracted from Spec v4.5,System must enforce contract rules specified under FLD-014,src/core/autogram_core/,PARTIAL
Spec v4.5::FLD-015,AUD-V45-RATE-001,Spec v4.5,v4.5,Explicit specification requirement case FLD-015 extracted from Spec v4.5,System must enforce contract rules specified under FLD-015,src/core/autogram_core/,PARTIAL
Spec v4.5::FLD-016,AUD-V45-RATE-001,Spec v4.5,v4.5,Explicit specification requirement case FLD-016 extracted from Spec v4.5,System must enforce contract rules specified under FLD-016,src/core/autogram_core/,PARTIAL
Spec v4.5::FLD-017,AUD-V45-RATE-001,Spec v4.5,v4.5,Explicit specification requirement case FLD-017 extracted from Spec v4.5,System must enforce contract rules specified under FLD-017,src/core/autogram_core/,PARTIAL
Spec v4.5::FLD-018,AUD-V45-RATE-001,Spec v4.5,v4.5,Explicit specification requirement case FLD-018 extracted from Spec v4.5,System must enforce contract rules specified under FLD-018,src/core/autogram_core/,PARTIAL
Spec v4.5::SES-001,AUD-V45-RATE-001,Spec v4.5,v4.5,Explicit specification requirement case SES-001 extracted from Spec v4.5,System must enforce contract rules specified under SES-001,src/core/autogram_core/,PARTIAL
Spec v4.5::SES-002,AUD-V45-RATE-001,Spec v4.5,v4.5,Explicit specification requirement case SES-002 extracted from Spec v4.5,System must enforce contract rules specified under SES-002,src/core/autogram_core/,PARTIAL
Spec v4.5::SES-003,AUD-V45-RATE-001,Spec v4.5,v4.5,Explicit specification requirement case SES-003 extracted from Spec v4.5,System must enforce contract rules specified under SES-003,src/core/autogram_core/,PARTIAL
Spec v4.5::SES-004,AUD-V45-RATE-001,Spec v4.5,v4.5,Explicit specification requirement case SES-004 extracted from Spec v4.5,System must enforce contract rules specified under SES-004,src/core/autogram_core/,PARTIAL
Spec v4.5::SES-005,AUD-V45-RATE-001,Spec v4.5,v4.5,Explicit specification requirement case SES-005 extracted from Spec v4.5,System must enforce contract rules specified under SES-005,src/core/autogram_core/,PARTIAL
Spec v4.5::SES-006,AUD-V45-RATE-001,Spec v4.5,v4.5,Explicit specification requirement case SES-006 extracted from Spec v4.5,System must enforce contract rules specified under SES-006,src/core/autogram_core/,PARTIAL
Spec v4.5::SES-007,AUD-V45-RATE-001,Spec v4.5,v4.5,Explicit specification requirement case SES-007 extracted from Spec v4.5,System must enforce contract rules specified under SES-007,src/core/autogram_core/,PARTIAL
Spec v4.5::SES-008,AUD-V45-RATE-001,Spec v4.5,v4.5,Explicit specification requirement case SES-008 extracted from Spec v4.5,System must enforce contract rules specified under SES-008,src/core/autogram_core/,PARTIAL
Spec v4.5::SES-009,AUD-V45-RATE-001,Spec v4.5,v4.5,Explicit specification requirement case SES-009 extracted from Spec v4.5,System must enforce contract rules specified under SES-009,src/core/autogram_core/,PARTIAL
Spec v4.5::SES-010,AUD-V45-RATE-001,Spec v4.5,v4.5,Explicit specification requirement case SES-010 extracted from Spec v4.5,System must enforce contract rules specified under SES-010,src/core/autogram_core/,PARTIAL
Spec v4.5::SES-011,AUD-V45-RATE-001,Spec v4.5,v4.5,Explicit specification requirement case SES-011 extracted from Spec v4.5,System must enforce contract rules specified under SES-011,src/core/autogram_core/,PARTIAL
Spec v4.5::SES-012,AUD-V45-RATE-001,Spec v4.5,v4.5,Explicit specification requirement case SES-012 extracted from Spec v4.5,System must enforce contract rules specified under SES-012,src/core/autogram_core/,PARTIAL
Spec v4.5::BAT-001,AUD-V45-RATE-001,Spec v4.5,v4.5,Explicit specification requirement case BAT-001 extracted from Spec v4.5,System must enforce contract rules specified under BAT-001,src/core/autogram_core/,PARTIAL
Spec v4.5::BAT-002,AUD-V45-RATE-001,Spec v4.5,v4.5,Explicit specification requirement case BAT-002 extracted from Spec v4.5,System must enforce contract rules specified under BAT-002,src/core/autogram_core/,PARTIAL
Spec v4.5::BAT-003,AUD-V45-RATE-001,Spec v4.5,v4.5,Explicit specification requirement case BAT-003 extracted from Spec v4.5,System must enforce contract rules specified under BAT-003,src/core/autogram_core/,PARTIAL
Spec v4.5::BAT-004,AUD-V45-RATE-001,Spec v4.5,v4.5,Explicit specification requirement case BAT-004 extracted from Spec v4.5,System must enforce contract rules specified under BAT-004,src/core/autogram_core/,PARTIAL
Spec v4.5::BAT-005,AUD-V45-RATE-001,Spec v4.5,v4.5,Explicit specification requirement case BAT-005 extracted from Spec v4.5,System must enforce contract rules specified under BAT-005,src/core/autogram_core/,PARTIAL
Spec v4.5::BAT-006,AUD-V45-RATE-001,Spec v4.5,v4.5,Explicit specification requirement case BAT-006 extracted from Spec v4.5,System must enforce contract rules specified under BAT-006,src/core/autogram_core/,PARTIAL
Spec v4.5::BAT-007,AUD-V45-RATE-001,Spec v4.5,v4.5,Explicit specification requirement case BAT-007 extracted from Spec v4.5,System must enforce contract rules specified under BAT-007,src/core/autogram_core/,PARTIAL
Spec v4.5::BAT-008,AUD-V45-RATE-001,Spec v4.5,v4.5,Explicit specification requirement case BAT-008 extracted from Spec v4.5,System must enforce contract rules specified under BAT-008,src/core/autogram_core/,PARTIAL
Spec v4.5::BAT-009,AUD-V45-RATE-001,Spec v4.5,v4.5,Explicit specification requirement case BAT-009 extracted from Spec v4.5,System must enforce contract rules specified under BAT-009,src/core/autogram_core/,PARTIAL
Spec v4.5::BAT-010,AUD-V45-RATE-001,Spec v4.5,v4.5,Explicit specification requirement case BAT-010 extracted from Spec v4.5,System must enforce contract rules specified under BAT-010,src/core/autogram_core/,PARTIAL
Spec v4.5::BAT-011,AUD-V45-RATE-001,Spec v4.5,v4.5,Explicit specification requirement case BAT-011 extracted from Spec v4.5,System must enforce contract rules specified under BAT-011,src/core/autogram_core/,PARTIAL
Spec v4.5::BAT-012,AUD-V45-RATE-001,Spec v4.5,v4.5,Explicit specification requirement case BAT-012 extracted from Spec v4.5,System must enforce contract rules specified under BAT-012,src/core/autogram_core/,PARTIAL
Spec v4.5::BAT-013,AUD-V45-RATE-001,Spec v4.5,v4.5,Explicit specification requirement case BAT-013 extracted from Spec v4.5,System must enforce contract rules specified under BAT-013,src/core/autogram_core/,PARTIAL
Spec v4.5::BAT-014,AUD-V45-RATE-001,Spec v4.5,v4.5,Explicit specification requirement case BAT-014 extracted from Spec v4.5,System must enforce contract rules specified under BAT-014,src/core/autogram_core/,PARTIAL
Spec v4.5::BAT-015,AUD-V45-RATE-001,Spec v4.5,v4.5,Explicit specification requirement case BAT-015 extracted from Spec v4.5,System must enforce contract rules specified under BAT-015,src/core/autogram_core/,PARTIAL
Spec v4.5::BAT-016,AUD-V45-RATE-001,Spec v4.5,v4.5,Explicit specification requirement case BAT-016 extracted from Spec v4.5,System must enforce contract rules specified under BAT-016,src/core/autogram_core/,PARTIAL
Spec v4.5::BAT-017,AUD-V45-RATE-001,Spec v4.5,v4.5,Explicit specification requirement case BAT-017 extracted from Spec v4.5,System must enforce contract rules specified under BAT-017,src/core/autogram_core/,PARTIAL
Spec v4.5::BAT-018,AUD-V45-RATE-001,Spec v4.5,v4.5,Explicit specification requirement case BAT-018 extracted from Spec v4.5,System must enforce contract rules specified under BAT-018,src/core/autogram_core/,PARTIAL
Spec v4.5::ALB-001,AUD-V46-ALB-001,Spec v4.5,v4.5,Explicit specification requirement case ALB-001 extracted from Spec v4.5,System must enforce contract rules specified under ALB-001,src/core/autogram_core/,PARTIAL
Spec v4.5::ALB-002,AUD-V46-ALB-001,Spec v4.5,v4.5,Explicit specification requirement case ALB-002 extracted from Spec v4.5,System must enforce contract rules specified under ALB-002,src/core/autogram_core/,PARTIAL
Spec v4.5::ALB-003,AUD-V46-ALB-001,Spec v4.5,v4.5,Explicit specification requirement case ALB-003 extracted from Spec v4.5,System must enforce contract rules specified under ALB-003,src/core/autogram_core/,PARTIAL
Spec v4.5::ALB-004,AUD-V46-ALB-001,Spec v4.5,v4.5,Explicit specification requirement case ALB-004 extracted from Spec v4.5,System must enforce contract rules specified under ALB-004,src/core/autogram_core/,PARTIAL
Spec v4.5::ALB-005,AUD-V46-ALB-001,Spec v4.5,v4.5,Explicit specification requirement case ALB-005 extracted from Spec v4.5,System must enforce contract rules specified under ALB-005,src/core/autogram_core/,PARTIAL
Spec v4.5::ALB-006,AUD-V46-ALB-001,Spec v4.5,v4.5,Explicit specification requirement case ALB-006 extracted from Spec v4.5,System must enforce contract rules specified under ALB-006,src/core/autogram_core/,PARTIAL
Spec v4.5::ALB-007,AUD-V46-ALB-001,Spec v4.5,v4.5,Explicit specification requirement case ALB-007 extracted from Spec v4.5,System must enforce contract rules specified under ALB-007,src/core/autogram_core/,PARTIAL
Spec v4.5::ALB-008,AUD-V46-ALB-001,Spec v4.5,v4.5,Explicit specification requirement case ALB-008 extracted from Spec v4.5,System must enforce contract rules specified under ALB-008,src/core/autogram_core/,PARTIAL
Spec v4.5::ALB-009,AUD-V46-ALB-001,Spec v4.5,v4.5,Explicit specification requirement case ALB-009 extracted from Spec v4.5,System must enforce contract rules specified under ALB-009,src/core/autogram_core/,PARTIAL
Spec v4.5::ALB-010,AUD-V46-ALB-001,Spec v4.5,v4.5,Explicit specification requirement case ALB-010 extracted from Spec v4.5,System must enforce contract rules specified under ALB-010,src/core/autogram_core/,PARTIAL
Spec v4.5::ALB-011,AUD-V46-ALB-001,Spec v4.5,v4.5,Explicit specification requirement case ALB-011 extracted from Spec v4.5,System must enforce contract rules specified under ALB-011,src/core/autogram_core/,PARTIAL
Spec v4.5::ALB-012,AUD-V46-ALB-001,Spec v4.5,v4.5,Explicit specification requirement case ALB-012 extracted from Spec v4.5,System must enforce contract rules specified under ALB-012,src/core/autogram_core/,PARTIAL
Spec v4.5::ALB-013,AUD-V46-ALB-001,Spec v4.5,v4.5,Explicit specification requirement case ALB-013 extracted from Spec v4.5,System must enforce contract rules specified under ALB-013,src/core/autogram_core/,PARTIAL
Spec v4.5::ALB-014,AUD-V46-ALB-001,Spec v4.5,v4.5,Explicit specification requirement case ALB-014 extracted from Spec v4.5,System must enforce contract rules specified under ALB-014,src/core/autogram_core/,PARTIAL
Spec v4.5::ALB-015,AUD-V46-ALB-001,Spec v4.5,v4.5,Explicit specification requirement case ALB-015 extracted from Spec v4.5,System must enforce contract rules specified under ALB-015,src/core/autogram_core/,PARTIAL
Spec v4.5::ALB-016,AUD-V46-ALB-001,Spec v4.5,v4.5,Explicit specification requirement case ALB-016 extracted from Spec v4.5,System must enforce contract rules specified under ALB-016,src/core/autogram_core/,PARTIAL
Spec v4.5::ALB-017,AUD-V46-ALB-001,Spec v4.5,v4.5,Explicit specification requirement case ALB-017 extracted from Spec v4.5,System must enforce contract rules specified under ALB-017,src/core/autogram_core/,PARTIAL
Spec v4.5::ALB-018,AUD-V46-ALB-001,Spec v4.5,v4.5,Explicit specification requirement case ALB-018 extracted from Spec v4.5,System must enforce contract rules specified under ALB-018,src/core/autogram_core/,PARTIAL
Spec v4.5::FTR-001,AUD-V45-RATE-001,Spec v4.5,v4.5,Explicit specification requirement case FTR-001 extracted from Spec v4.5,System must enforce contract rules specified under FTR-001,src/core/autogram_core/,PARTIAL
Spec v4.5::FTR-002,AUD-V45-RATE-001,Spec v4.5,v4.5,Explicit specification requirement case FTR-002 extracted from Spec v4.5,System must enforce contract rules specified under FTR-002,src/core/autogram_core/,PARTIAL
